basin_id,NSE
GRDC_6341500,0.567
GRDC_6342050,0.633
GRDC_6342070,0.529
GRDC_6342081,0.318
GRDC_6342100,0.51
GRDC_6342105,0.489
GRDC_6342110,0.504
GRDC_6342120,0.591
GRDC_6342125,0.488
GRDC_6342130,0.731
GRDC_6342200,0.733
GRDC_6342201,0.723
GRDC_6342210,0.707
GRDC_6342220,0.627
GRDC_6342230,0.68
GRDC_6342500,0.766
GRDC_6342501,0.721
GRDC_6342502,0.813
GRDC_6342510,0.643
GRDC_6342512,0.43
GRDC_6342513,0.637
GRDC_6342520,0.625
GRDC_6342521,0.72
GRDC_6342522,0.421
GRDC_6342525,
GRDC_6342530,0.685
GRDC_6342531,0.676
GRDC_6342540,0.491
GRDC_6342570,0.614
GRDC_6342600,0.828
GRDC_6342610,0.833
GRDC_6342611,0.828
GRDC_6342620,
GRDC_6342625,0.742
GRDC_6342630,0.644
GRDC_6342640,0.452
GRDC_6342650,0.523
GRDC_6342655,0.479
GRDC_6342660,0.642
GRDC_6342670,0.601
GRDC_6342675,0.618
GRDC_6342800,0.831
GRDC_6342810,0.727
GRDC_6342820,0.756
GRDC_6342830,0.744
GRDC_6342840,0.611
GRDC_6342900,0.769
GRDC_6342910,0.808
GRDC_6342920,0.824
GRDC_6342925,0.357
GRDC_6342926,0.424
GRDC_6342927,0.437
GRDC_6342928,0.793
GRDC_6342930,0.542
GRDC_6342931,0.686
GRDC_6342935,0.656
GRDC_6342940,0.168
GRDC_6342945,0.576
GRDC_6342947,0.642
GRDC_6342950,
GRDC_6342951,0.678
GRDC_6342960,0.684
GRDC_6342970,0.812
GRDC_6342980,0.86
GRDC_6343100,0.746
GRDC_6343110,0.613
GRDC_6343111,0.718
GRDC_6343120,0.677
GRDC_6343500,0.788
GRDC_6343510,0.618
GRDC_6343520,0.611
GRDC_6343530,0.736
GRDC_6343531,0.72
GRDC_6343535,0.673
GRDC_6343537,0.747
GRDC_6343550,0.675
GRDC_6343555,0.631
GRDC_6343560,0.76
GRDC_6343570,0.69
GRDC_6343900,0.659
GRDC_6357010,0.496
GRDC_6357020,0.463
GRDC_6357500,0.598
GRDC_6357501,0.587
GRDC_6357502,0.636
GRDC_6357503,0.541
GRDC_6357505,0.573
GRDC_6357510,0.52
GRDC_6357520,0.695
GRDC_6357521,0.472
